account,broker_name,company_name,listing_url
16388.0,brian do,realtyall.com,https://realtyall.com/business-for-sale-%ec%82%ac%ec%97%85%ec%b2%b4-%eb%a7%a4%eb%a7%a4/
44968.0,andy rumph,the decain group,https://thedecaingroup.com/businesses-for-sale/
35082.0,toby barker,"business broker development group, llc",https://www.bizbrokersuccess.com/current-listings
17722.0,mark johns,kelleher & sadowsky,https://kelleher-sadowsky.com/listings/
2825.0,bill oates,alliant capital advisors llc,https://alliantbrokers.com/businesses-for-sale-4/
28151.0,frank abraszek,buffalo business brokers & realty llc,https://www.buffalobusinessbrokers.com/current-listings
44337.0,milt flinn,generational equity,https://www.dealforce.com/opportunities/
32949.0,crystal misenheimer,progressive practice sales,https://progressivepracticesales.com/practices-for-sale/
809.0,bill corley - bottomline business brokers,bottomline business brokers,https://www.blbrokers.com/businesses-for-sale
3636.0,"randi edwards, cbb, cbis",kr business brokers,https://www.krbrokers.com/kr-business-broker-listings
812.0,"jon barger, cbb, sba",tucson business investments,https://www.tucsonbusiness.com/listings.html
40242.0,admin pacficrb,pacific restaurant brokers,https://pacificrestaurantbrokers.com/listings
10121.0,tommy farmer,the marvin group llc,https://www.businessesforsale.com/search?formName=searchForm&keywords=
40556.0,alan mehrez,united realty group,https://businessteamusa.com/businesses-for-sale/
9046.0,joseph latina,"lmt commercial realty, llc",https://lmtcre.com/businesses-for-sale/
26132.0,luis gutierrez,gutier brokers llc,https://gutierbrokers.com/search-businesses-for-sale/
40194.0,"take iga cbi, cbb",jrc advisors l exp commercial,https://jrc-advisors.com/businesses-for-sale/
38727.0,sandra boucher,southeast business alliance,https://sebusinessalliance.com/buy-a-business/
4876.0,david fairley,websiteproperties.com,https://websiteproperties.com/websites-for-sale/
15708.0,james sullivan foster,"business brokers of oregon, llc",https://businessbrokersoforegon.com/listings/
13379.0,tom buckley,fnbc kansas city,https://www.fnbcusa.com/buying-a-business
1269.0,ming dong,lee brokers,https://leebrokers.com/business-for-sale/
29132.0,murat demir,xera realty inc,https://www.xerare.com/status/business-for-sale
26756.0,marc l. able,benchmark business brokers,https://benchmarkbusinessbrokers.com/businesses-for-sale/
33528.0,richard green,green & co. business brokers,https://greenandco.biz/featured-for-sale/
5397.0,dennis serpone,national restaurant exchange,"https://www.nerestaurantbrokers.com/full-service-restaurants

https://www.nerestaurantbrokers.com/fast-food-restaurants

https://www.nerestaurantbrokers.com/liquor-businesses"
10428.0,"adam bauer, cbi",the business exchange,https://tbxllc.com/businesses-for-sale/
14844.0,brian stephens,legacy venture group & buybizusa,https://buybizusa.com/all-listings/
38652.0,jon sheklow,number1businessbroker.com,https://number1businessbroker.com/search/
22154.0,kathy brents,"accounting biz brokers, llc.",https://accountingbizbrokers.com/listings/
37417.0,william white,peak commercial,https://murphybusiness.com/hudson/businesses-for-sale/
39159.0,tommy newton,"xite realty, llc",https://www.xiteco.com/practice-listings/?_practice_listings_map=2.861753%2C-130.813086%2C57.163602%2C-64.543555
807.0,helen liu,accel business advisors,https://accelvalue.com/current-listing-2/?statuses=ACTIVE
3979.0,frank & rose stabler,certified business brokers,https://certifiedbb.com/listings/?statuses=ACTIVE
2379.0,colliers & acquisitions,colliers,https://businessbrokerage.colliers.com/listing/
19767.0,j&e business group,j & e business group llc,https://jebizsales.com/businesses-for-sale
36540.0,"shaun rudgear, mcbi, m&ami, cbi, cbb",strategic medical brokers llc,https://strategicmedicalbrokers.com/listing/
